#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
happiness,4,3,1,2
sadness,4,3,1,2
death,4,1,2,3
tragedy,4,1,2,3
alone,4,1,2,3
love,4,2,1,3
adventure,4,3,1,2
sweet,4,2,1,3
excitement,4,2,1,3
fireworks,4,3,2,1
romance,4,2,1,3
tears,4,1,2,3
depression,4,1,3,2
heart,4,2,1,3
marriage,4,2,1,3
passion,4,2,1,3
childhood,4,3,2,1
fun,4,3,1,2
color,4,3,2,1
hope,4,2,3,1
friends,4,3,1,2
family,4,2,1,3
party,4,3,2,1
vacation,4,3,1,2
lazy,4,3,2,1
daydream,4,1,2,3
pain,4,2,3,1
holiday,4,3,1,2
bed,4,3,1,2
feather,4,3,2,1
shame,4,2,3,1
fear,4,1,3,2
warm,4,3,1,2
flower,4,3,1,2
comfort,4,3,1,2
dance,4,2,1,3
sing,4,2,1,3
cry,4,1,2,3
laugh,4,3,1,2
dark,4,2,3,1
sunny,4,3,1,2
raincloud,4,3,2,1
calm,4,1,3,2
silly,4,3,2,1
flying,4,3,2,1
wonderful,4,3,2,1
unrequited,4,1,2,3
rose,4,1,2,3
together,4,2,1,3
promise,4,2,1,3
charm,4,3,2,1
beauty,4,2,1,3
cheer,4,3,2,1
smile,4,2,1,3
broken,4,1,2,3
precious,4,2,1,3
prayer,4,1,3,2
clumsy,4,3,2,1
forgive,4,2,3,1
nature,4,3,1,2
ocean,4,3,1,2
dazzle,4,3,2,1
special,4,2,1,3
music,4,2,1,3
lucky,4,3,2,1
misfortune,4,2,3,1
loud,4,3,1,2
peaceful,4,1,3,2
joy,4,1,3,2
sunset,4,3,1,2
fireflies,4,3,2,1
rainbow,4,3,1,2
hurt,4,2,3,1
play,4,3,2,1
sparkle,4,3,2,1
scars,4,2,3,1
empty,4,1,2,3
amazing,4,3,2,1
grief,4,1,3,2
embrace,4,1,2,3
extraordinary,4,2,1,3
awesome,4,3,2,1
