#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
happiness,4,3,2,1
sadness,4,3,2,1
death,4,3,1,2
tragedy,4,3,1,2
alone,4,3,1,2
love,4,3,2,1
adventure,4,3,2,1
sweet,4,3,2,1
excitement,4,3,2,1
fireworks,4,3,2,1
romance,4,3,2,1
tears,4,3,1,2
depression,4,3,1,2
heart,4,3,2,1
marriage,4,3,2,1
passion,4,3,2,1
childhood,4,3,2,1
fun,4,3,2,1
color,4,3,2,1
hope,4,3,1,2
friends,4,3,2,1
family,4,3,2,1
party,4,3,2,1
vacation,4,3,2,1
lazy,4,3,2,1
daydream,4,3,1,2
pain,4,3,1,2
holiday,4,3,2,1
bed,4,3,2,1
feather,4,3,2,1
shame,4,3,1,2
fear,4,3,1,2
warm,4,3,2,1
flower,4,3,2,1
comfort,4,3,2,1
dance,4,3,2,1
sing,4,3,2,1
cry,4,3,1,2
laugh,4,3,2,1
dark,4,3,1,2
sunny,4,3,2,1
raincloud,4,3,2,1
calm,4,3,1,2
silly,4,3,2,1
flying,4,3,2,1
wonderful,4,3,2,1
unrequited,4,3,1,2
rose,4,3,1,2
together,4,3,2,1
promise,4,3,2,1
charm,4,3,2,1
beauty,4,3,2,1
cheer,4,3,2,1
smile,4,3,2,1
broken,4,3,1,2
precious,4,3,2,1
prayer,4,3,1,2
clumsy,4,3,2,1
forgive,4,3,1,2
nature,4,3,2,1
ocean,4,3,2,1
dazzle,4,3,2,1
special,4,3,2,1
music,4,3,2,1
lucky,4,3,2,1
misfortune,4,3,1,2
loud,4,3,2,1
peaceful,4,3,1,2
joy,4,3,1,2
sunset,4,3,2,1
fireflies,4,3,2,1
rainbow,4,3,2,1
hurt,4,3,1,2
play,4,3,2,1
sparkle,4,3,2,1
scars,4,3,1,2
empty,4,3,1,2
amazing,4,3,2,1
grief,4,3,1,2
embrace,4,3,1,2
extraordinary,4,3,2,1
awesome,4,3,2,1
defeat,4,3,1,2
hopeless,4,3,1,2
misery,4,3,1,2
treasure,4,3,2,1
bliss,4,3,2,1
memories,4,3,2,1

#Natsuki's words
cute,2,4,3,1
fluffy,2,4,3,1
pure,1,4,3,2
candy,2,4,3,1
